# 1kOhm 08/12/2017
# Lock-In: 5110 Sensitivity: 100mV Time Constant:  | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
# Time Constant: 
00000648   1.00E-3  1.149793E-5     1.20000E-1   -1.2000E-1   -6.1035E-4     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00002170   1.02E-3  1.145847E-5     4.04000E-3    3.1000E-3   -3.0518E-4     0.0000E+0   -6.1035E-4    -3.0518E-4     -0.000305 
00003000   1.04E-3  1.220819E-5     4.11000E-3    1.7400E-3   -6.1035E-4    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00004000   1.06E-3  1.619920E-5     4.01000E-3    0.0000E+0   -3.0518E-4     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00005000   1.08E-3  2.876404E-5     3.35000E-3    1.7300E-3   -6.1035E-4    -9.1553E-4   -3.0518E-4    -3.0518E-4      0.000000 
00006000   1.10E-3  4.510003E-5     4.04000E-3    3.4700E-3   -3.0518E-4     0.0000E+0   -6.1035E-4    -3.0518E-4      0.000000 
00007000   1.12E-3  5.185874E-5     4.65000E-3    1.7700E-3   -6.1035E-4    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00008000   1.14E-3  5.522965E-5     3.99000E-3    1.7300E-3    0.0000E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000000 
00009000   1.16E-3  5.733796E-5     3.90000E-3   -3.0000E-5   -9.1553E-4    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00010000   1.18E-3  6.109219E-5     3.29000E-3    1.8000E-3    0.0000E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4      0.000305 
00011000   1.20E-3  6.387123E-5     4.18000E-3    1.7600E-3    0.0000E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000610 
00012000   1.22E-3  6.512829E-5     4.01000E-3   -4.0000E-5    3.0518E-4     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00013000   1.24E-3  6.672919E-5     3.28000E-3    1.8100E-3   -3.0518E-4    -6.1035E-4    0.0000E+0     0.0000E+0     -0.000305 
00014000   1.26E-3  6.895023E-5     3.96000E-3    3.4600E-3   -6.1035E-4    -3.0518E-4   -6.1035E-4     0.0000E+0     -0.000305 
00015000   1.28E-3  7.139105E-5     4.77000E-3    1.7200E-3   -6.1035E-4     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00016000   1.30E-3  7.268755E-5     4.01000E-3    3.3000E-4   -3.0518E-4    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00017000   1.32E-3  7.460415E-5     3.34000E-3    1.6800E-3    0.0000E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000610 
00018000   1.34E-3  7.641363E-5     4.03000E-3    1.5700E-3   -3.0518E-4    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00019000   1.36E-3  7.821750E-5     4.70000E-3    1.8300E-3    3.0518E-4    -6.1035E-4   -6.1035E-4     0.0000E+0      0.000305 
00020000   1.38E-3  8.017918E-5     4.01000E-3    1.8800E-3   -3.0518E-4    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000610 
00021000   1.40E-3  8.214085E-5     3.29000E-3    1.7300E-3   -3.0518E-4     0.0000E+0    0.0000E+0    -3.0518E-4      0.000000 
00022000   1.42E-3  8.302017E-5     3.98000E-3    2.1000E-4   -6.1035E-4    -3.0518E-4   -6.1035E-4    -3.0518E-4      0.000000 
00023000   1.44E-3  8.407429E-5     4.72000E-3    1.7900E-3    0.0000E+0     3.0518E-4   -3.0518E-4     0.0000E+0      0.000305 
00024000   1.46E-3  8.676883E-5     4.03000E-3    6.0000E-4   -6.1035E-4    -3.0518E-4   -6.1035E-4    -3.0518E-4      0.000000 
00025000   1.48E-3  8.761438E-5     3.27000E-3    1.7400E-3    3.0518E-4     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00026000   1.50E-3  9.001574E-5     3.99000E-3    1.6200E-3   -9.1553E-4    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00027000   1.52E-3  9.049494E-5     4.58000E-3    3.3400E-3   -6.1035E-4     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00028000   1.54E-3  9.236643E-5     4.10000E-3    1.7400E-3   -3.0518E-4     0.0000E+0    0.0000E+0    -3.0518E-4      0.000000 
00029000   1.56E-3  9.304294E-5     3.91000E-3    3.5600E-3    0.0000E+0    -6.1035E-4   -3.0518E-4    -6.1035E-4     -0.000305 
00030000   1.58E-3  9.367429E-5     3.27000E-3    1.7600E-3   -6.1035E-4     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000610 
00031000   1.60E-3  9.538230E-5     4.02000E-3    3.4900E-3   -3.0518E-4    -3.0518E-4   -3.0518E-4     3.0518E-4      0.000000 
00032000   1.62E-3  9.737770E-5     4.75000E-3    1.7300E-3    0.0000E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00033000   1.64E-3  9.857275E-5     4.02000E-3   -1.0000E-5    0.0000E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000610 
00034000   1.66E-3  9.866304E-5     3.25000E-3    1.8100E-3   -9.1553E-4     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000610 
00035000   1.68E-3     0.000100     4.02000E-3    3.5700E-3   -3.0518E-4    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000305 
00036000   1.70E-3     0.000101     4.57000E-3    1.7600E-3   -3.0518E-4     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000610 
00037000   1.72E-3     0.000103     3.96000E-3    0.0000E+0   -9.1553E-4    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00038000   1.74E-3     0.000103     3.60000E-3    1.7900E-3    6.1035E-4    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000610 
00039000   1.76E-3     0.000103     4.21000E-3    3.5700E-3   -9.1553E-4    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00040000   1.78E-3     0.000105     3.99000E-3    1.7600E-3   -3.0518E-4     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
