# 1kOhm 08/12/2017
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3    -0.909210     3.54000E-3    1.6300E-3   -1.0193E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000610 
00001879   1.02E-3    -1.144498     3.85000E-3    2.3000E-4   -1.3617E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00002279   1.04E-3    -0.512358     3.82000E-3   -7.0000E-5   -1.3971E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00003000   1.06E-3    -0.039675     3.95000E-3    1.6600E-3   -1.7468E+0     0.0000E+0   -3.0518E-4    -6.1035E-4      0.000000 
00004000   1.08E-3    -0.899463     3.89000E-3    1.9000E-3   -1.0468E+0    -6.1035E-4    0.0000E+0     0.0000E+0      0.000000 
00005000   1.10E-3    -1.052849     3.87000E-3    1.8800E-3   -1.2823E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00006000   1.12E-3    -1.095479     3.82000E-3    1.5100E-3   -1.2845E+0    -3.0518E-4    3.0518E-4    -3.0518E-4     -0.000305 
00007000   1.14E-3    -1.104356     3.87000E-3    2.2400E-3   -1.2842E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00008000   1.16E-3    -1.053483     3.84000E-3    3.5000E-4   -1.2845E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00009000   1.18E-3    -1.087222     3.85000E-3    1.7000E-4   -1.2854E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00010000   1.20E-3    -1.106756     3.81000E-3    2.8200E-3   -1.2823E+0     0.0000E+0    3.0518E-4    -3.0518E-4     -0.000305 
00011000   1.22E-3    -1.149494     3.81000E-3    3.1100E-3   -1.2845E+0    -3.0518E-4   -9.1553E-4     0.0000E+0     -0.000305 
00012000   1.24E-3    -1.076263     3.75000E-3    3.2300E-3   -1.2854E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00013000   1.26E-3    -1.077109     3.80000E-3    3.3500E-3   -1.2848E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00014000   1.28E-3    -1.104197     3.81000E-3    3.3400E-3   -1.2860E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000305 
00015000   1.30E-3    -1.108130     3.75000E-3   -1.0000E-4   -1.2866E+0     0.0000E+0   -9.1553E-4    -3.0518E-4     -0.000305 
00016000   1.32E-3    -1.100619     3.79000E-3    3.3300E-3   -1.2878E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00017000   1.34E-3    -1.091517     3.81000E-3    3.4000E-3   -1.2869E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000305 
00018000   1.36E-3    -0.806793     3.77000E-3    3.3100E-3   -1.2881E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00019000   1.38E-3    -1.096276     4.00000E-3    3.3300E-3   -1.2891E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000610 
00020000   1.40E-3    -1.103229     3.03000E-3    1.6800E-3   -1.2811E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00021000   1.42E-3    -1.100496     3.09000E-3    1.6600E-3   -1.2793E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00022000   1.44E-3    -1.091890     3.06000E-3    1.6000E-3   -1.2787E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00023000   1.46E-3    -0.808814     2.99000E-3    1.6600E-3   -1.2775E+0    -6.1035E-4    0.0000E+0     3.0518E-4     -0.000305 
00024000   1.48E-3    -1.092502     3.01000E-3    1.6900E-3   -1.2784E+0     0.0000E+0   -3.0518E-4    -6.1035E-4     -0.000305 
00025000   1.50E-3    -0.857548     3.00000E-3    1.6500E-3   -1.2781E+0     0.0000E+0   -6.1035E-4    -3.0518E-4     -0.000305 
00026000   1.52E-3    -1.092303     3.01000E-3    1.6100E-3   -1.2784E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000610 
00027000   1.54E-3    -1.104638     4.51000E-3    1.6400E-3   -1.2781E+0    -3.0518E-4   -6.1035E-4     0.0000E+0      0.000000 
00028000   1.56E-3    -1.106953     4.05000E-3    1.6000E-3   -1.2778E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00029000   1.58E-3    -1.105269     3.98000E-3    1.6000E-3   -1.2772E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00030000   1.60E-3    -1.099258     3.89000E-3    1.8400E-3   -1.2781E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00031000   1.62E-3    -1.092439     3.77000E-3    1.6600E-3   -1.2772E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00032000   1.64E-3    -0.802608     3.81000E-3    9.8000E-4   -1.2784E+0    -3.0518E-4    3.0518E-4    -3.0518E-4     -0.000610 
00033000   1.66E-3    -1.097408     3.79000E-3    2.3000E-4   -1.2784E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00034000   1.68E-3    -1.136048     3.79000E-3    7.0000E-5   -1.2781E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00035000   1.70E-3    -1.067744     3.81000E-3    5.0000E-5   -1.2787E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000610 
00036000   1.72E-3    -0.942539     3.81000E-3   -3.0000E-5   -1.2784E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00037000   1.74E-3    -1.105671     3.83000E-3   -1.0000E-5   -1.2784E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00038000   1.76E-3    -1.092504     3.83000E-3   -4.0000E-5   -1.2784E+0    -3.0518E-4   -6.1035E-4    -6.1035E-4     -0.000610 
00039000   1.78E-3    -1.067660     3.81000E-3   -5.0000E-5   -1.2561E+0    -6.1035E-4    0.0000E+0    -6.1035E-4      0.000000 
00040000   1.80E-3    -1.083521     3.64000E-3   -4.0000E-5   -1.2714E+0    -3.0518E-4   -6.1035E-4     6.1035E-4     -0.000305 
00041000   1.82E-3    -1.103993     3.33000E-3    3.8000E-4   -1.2781E+0     0.0000E+0   -3.0518E-4     3.0518E-4     -0.000305 
00042000   1.84E-3    -1.124592     3.22000E-3    9.7000E-4   -1.3147E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00043000   1.86E-3     1.857457     3.10000E-3    1.4000E-3    1.8576E+0    -6.1035E-4    0.0000E+0    -3.0518E-4     -0.000305 
00044000   1.88E-3    -0.177408     3.05000E-3    1.5900E-3   -2.2369E-1     0.0000E+0   -6.1035E-4     3.0518E-4     -0.000305 
00045000   1.90E-3    -1.088254     3.05000E-3    1.6600E-3   -1.2622E+0    -9.1553E-4    0.0000E+0    -3.0518E-4     -0.000305 
00046000   1.92E-3     9.996512     3.03000E-3    1.6600E-3    9.9924E+0     0.0000E+0    0.0000E+0     0.0000E+0      0.000000 
00047000   1.94E-3     9.996464     3.03000E-3    1.6800E-3    9.9918E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00048000   1.96E-3    -0.821161     2.97000E-3    1.7000E-3   -9.5490E-1     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00049000   1.98E-3    -1.100442     2.99000E-3    1.6500E-3   -1.2717E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00050000   2.00E-3    -0.206126     4.56000E-3    1.6800E-3   -2.2726E+0    -3.0518E-4   -9.1553E-4    -3.0518E-4      0.000305 
