# 1kOhm 08/12/2017 WITHOUT PREAMPS
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3     0.998098     4.63000E-3    1.6600E-3    9.9762E-1    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00002059   1.02E-3     1.018083     3.85000E-3    1.7500E-3    1.0175E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00003000   1.04E-3     1.038097     3.81000E-3    1.4000E-4    1.0382E+0    -3.0518E-4    3.0518E-4     0.0000E+0     -0.000305 
00004000   1.06E-3     1.058052     3.73000E-3   -1.0000E-5    1.0599E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00005000   1.08E-3     1.077999     3.75000E-3   -5.0000E-5    1.0779E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00006000   1.10E-3     1.097942     3.78000E-3   -2.0000E-5    1.0965E+0     3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00007000   1.12E-3     1.117962     3.79000E-3   -9.0000E-5    1.1176E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000610 
00008000   1.14E-3     1.137869     3.79000E-3    3.3500E-3    1.1380E+0     0.0000E+0    3.0518E-4     0.0000E+0      0.000000 
00009000   1.16E-3     1.157854     3.54000E-3   -1.0000E-4    1.1572E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00010000   1.18E-3     1.177759     3.43000E-3    2.0000E-5    1.1777E+0    -6.1035E-4    0.0000E+0    -3.0518E-4     -0.000610 
00011000   1.20E-3     1.197741     3.80000E-3    3.3600E-3    1.1975E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000610 
00012000   1.22E-3     1.197746     3.95000E-3    3.3300E-3    1.2140E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00013000   1.24E-3     1.237704     3.41000E-3    1.5000E-4    1.2366E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00014000   1.26E-3     1.257645     3.06000E-3    1.6700E-3    1.2579E+0     3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00015000   1.28E-3     1.277611     4.51000E-3    1.6700E-3    1.2753E+0     0.0000E+0    3.0518E-4     0.0000E+0      0.000305 
