# 1kOhm 08/12/2017 WITHOUT PREAMPS final
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3     0.998261     4.33000E-3    2.5300E-3    9.9823E-1    -6.1035E-4    0.0000E+0     3.0518E-4     -0.000305 
00001807   1.02E-3     1.018247     3.05000E-3    1.6700E-3    1.0172E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000305 
00002165   1.04E-3     1.038256     3.83000E-3    2.9000E-3    1.0376E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00003000   1.06E-3     1.058225     3.15000E-3    3.0100E-3    1.0574E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000305 
00004000   1.08E-3     1.078175     4.32000E-3    2.1500E-3    1.0767E+0     0.0000E+0   -6.1035E-4     0.0000E+0     -0.000305 
00005000   1.10E-3     1.098122     3.04000E-3    1.6400E-3    1.0986E+0     0.0000E+0    0.0000E+0    -3.0518E-4      0.000305 
00006000   1.12E-3     1.118149     4.49000E-3    1.6500E-3    1.1182E+0     3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00007000   1.14E-3     1.138092     4.55000E-3    1.6600E-3    1.1380E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00008000   1.16E-3     1.158043     4.54000E-3    1.6300E-3    1.1572E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000610 
00009000   1.18E-3     1.177987     3.01000E-3    1.6400E-3    1.1758E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000305 
00010000   1.20E-3     1.197938     3.03000E-3    1.6700E-3    1.1957E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00011000   1.22E-3     1.217956     3.02000E-3    1.6500E-3    1.2192E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00012000   1.24E-3     1.237898     3.06000E-3    1.6700E-3    1.2381E+0    -3.0518E-4    0.0000E+0     0.0000E+0      0.000305 
00013000   1.26E-3     1.257848     3.10000E-3    1.6800E-3    1.2573E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00014000   1.28E-3     1.277808     3.40000E-3    1.6800E-3    1.2778E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00015000   1.30E-3     1.297792     3.59000E-3    1.4800E-3    1.2979E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00016000   1.32E-3     1.317773     3.72000E-3    1.5000E-3    1.3168E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00017000   1.34E-3     1.335344     3.81000E-3    1.2900E-3    1.3376E+0    -6.1035E-4   -3.0518E-4     0.0000E+0     -0.000610 
00018000   1.36E-3     1.357680     3.75000E-3    2.9900E-3    1.3580E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000610 
00019000   1.38E-3     1.377629     3.79000E-3    7.0000E-5    1.3782E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00020000   1.40E-3     1.397652     3.83000E-3    3.2700E-3    1.3965E+0    -3.0518E-4    3.0518E-4    -3.0518E-4      0.000000 
00021000   1.42E-3     1.417600     3.82000E-3    3.3600E-3    1.4178E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00022000   1.44E-3     1.436073     3.61000E-3    3.3000E-3    1.4380E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000610 
00023000   1.46E-3     1.457492     4.24000E-3    2.9900E-3    1.4566E+0    -3.0518E-4    0.0000E+0     3.0518E-4      0.000000 
00024000   1.48E-3     1.477504     3.09000E-3    2.4700E-3    1.4771E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00025000   1.50E-3     1.497459     3.06000E-3    1.7500E-3    1.4972E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00026000   1.52E-3     1.517404     4.48000E-3    1.6500E-3    1.5179E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000610 
00027000   1.54E-3     1.537341     4.59000E-3    1.6600E-3    1.5369E+0     3.0518E-4    0.0000E+0    -3.0518E-4      0.000305 
00028000   1.56E-3     1.554348     4.50000E-3    1.6600E-3    1.5585E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00029000   1.58E-3     1.577332     4.59000E-3    1.6600E-3    1.5775E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000610 
00030000   1.60E-3     1.597245     3.19000E-3    1.6200E-3    1.5967E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00031000   1.62E-3     1.617229     4.05000E-3    1.6200E-3    1.6171E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4      0.000000 
00032000   1.64E-3     1.637155     3.88000E-3    1.8200E-3    1.6376E+0     3.0518E-4   -3.0518E-4     0.0000E+0     -0.000916 
00033000   1.66E-3     1.657209     3.62000E-3    1.5700E-3    1.6571E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00034000   1.68E-3     1.677158     3.75000E-3    3.3000E-4    1.6754E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00035000   1.70E-3     1.697094     3.81000E-3    4.0000E-5    1.6965E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
