# 1kOhm 08/12/2017 WITHOUT PREAMPS final 2
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-3     0.998256     4.67000E-3    1.6200E-3    9.9762E-1    -6.1035E-4   -3.0518E-4     0.0000E+0      0.000000 
00002072   1.02E-3     1.018206     3.83000E-3    1.4300E-3    1.0181E+0    -3.0518E-4    3.0518E-4    -3.0518E-4      0.000000 
00003000   1.04E-3     1.038227     3.81000E-3    3.2500E-3    1.0376E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00004000   1.06E-3     1.058183     3.77000E-3    3.2900E-3    1.0580E+0    -3.0518E-4    0.0000E+0    -6.1035E-4     -0.000305 
00005000   1.08E-3     1.078133     3.45000E-3    6.0000E-5    1.0773E+0    -3.0518E-4    3.0518E-4     0.0000E+0      0.000000 
00006000   1.10E-3     1.098075     3.76000E-3   -1.0000E-5    1.0968E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00007000   1.12E-3     1.118098     3.81000E-3    3.3600E-3    1.1172E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000610 
00008000   1.14E-3     1.138042     3.81000E-3   -2.0000E-5    1.1383E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
# Sensitivity: 500mV
00009003   1.16E-3     1.157994     4.80000E-3    7.9500E-3    1.1581E+0     3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00010000   1.18E-3     1.177902     1.30500E-2    1.0850E-2    1.1786E+0     0.0000E+0    0.0000E+0    -3.0518E-4      0.000000 
00011000   1.20E-3     1.197888     1.93500E-2    7.2500E-3    1.1984E+0    -6.1035E-4    0.0000E+0     0.0000E+0      0.000000 
00012000   1.22E-3     1.197892     1.87500E-2    9.4500E-3    1.2173E+0     3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
# Sensitivity: 100mV
00013000   1.24E-3     1.237860     0.00000E+0    1.6000E-3    1.2375E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00014000   1.26E-3     1.257807     9.80000E-4    1.5900E-3    1.2576E+0     0.0000E+0    0.0000E+0    -3.0518E-4      0.000000 
00015000   1.28E-3     1.277768     1.72000E-3    1.7200E-3    1.2747E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00016000   1.30E-3     1.297791     2.23000E-3    1.6300E-3    1.2976E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000610 
00017000   1.32E-3     1.317737     5.05000E-3    1.6800E-3    1.3144E+0     3.0518E-4   -6.1035E-4    -6.1035E-4     -0.000610 
00018000   1.34E-3     1.337692     2.68000E-3    1.6900E-3    1.3373E+0     0.0000E+0   -6.1035E-4    -3.0518E-4     -0.000305 
00019000   1.36E-3     1.357636     4.75000E-3    1.6500E-3    1.3556E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000610 
00020000   1.38E-3     1.377587     4.67000E-3    1.6300E-3    1.3779E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00021000   1.40E-3     1.397605     4.01000E-3    1.6700E-3    1.3974E+0    -6.1035E-4    0.0000E+0     0.0000E+0     -0.000305 
00022000   1.42E-3     1.417565     3.58000E-3    1.4900E-3    1.4172E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00023000   1.44E-3     1.437503     3.63000E-3    1.4900E-3    1.4374E+0    -6.1035E-4   -3.0518E-4     0.0000E+0      0.000000 
00024000   1.46E-3     1.457451     3.70000E-3    1.6100E-3    1.4563E+0     3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00025000   1.48E-3     1.477470     3.75000E-3    2.2800E-3    1.4774E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00026000   1.50E-3     1.497416     3.79000E-3    2.7400E-3    1.4960E+0     0.0000E+0    0.0000E+0     0.0000E+0     -0.000305 
00027000   1.52E-3     1.517355     3.79000E-3    3.2100E-3    1.5155E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000610 
00028000   1.54E-3     1.537309     3.83000E-3    9.0000E-5    1.5372E+0    -3.0518E-4    0.0000E+0    -6.1035E-4     -0.000305 
00029000   1.56E-3     1.557251     3.81000E-3   -5.0000E-5    1.5567E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00030000   1.58E-3     1.577287     3.80000E-3   -9.0000E-5    1.5771E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00031000   1.60E-3     1.597232     3.85000E-3   -2.0000E-5    1.5961E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00032000   1.62E-3     1.611116     3.82000E-3   -7.0000E-5    1.6159E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
