# 1kOhm 08/12/2017 WITHOUT PREAMPS EXPERIMENT
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000649   1.00E-3     0.998234     4.57000E-3    1.6600E-3    1.0001E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00002112   1.02E-3     1.018147     3.93000E-3    1.8800E-3    1.0175E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00003000   1.04E-3     1.038205     3.81000E-3    3.2900E-3    1.0379E+0    -3.0518E-4    0.0000E+0     3.0518E-4      0.000000 
00004000   1.06E-3     1.058164     3.56000E-3   -4.0000E-5    1.0565E+0     0.0000E+0    0.0000E+0     0.0000E+0      0.000000 
00005000   1.08E-3     1.078076     3.64000E-3    3.3600E-3    1.0776E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00006000   1.10E-3     1.098054     3.26000E-3    2.8600E-3    1.0986E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4      0.000305 
# Sensitivity: 500mV
00007000   1.12E-3     1.118082     4.75000E-3    8.3000E-3    1.1176E+0     0.0000E+0    3.0518E-4    -3.0518E-4     -0.000305 
00008000   1.14E-3     1.138029     1.04500E-2    7.4500E-3    1.1395E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000305 
00009000   1.16E-3     1.157975     2.27000E-2    8.1000E-3    1.1575E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00010000   1.18E-3     1.177923     1.80500E-2    8.1000E-3    1.1774E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00011000   1.20E-3     1.197872     1.79500E-2    8.2500E-3    1.1978E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00012000   1.22E-3     1.197869     1.70000E-2    8.2500E-3    1.2155E+0    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00013000   1.24E-3     1.237834     1.93000E-2    8.3000E-3    1.2378E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000000 
00014000   1.26E-3     1.246574     1.85000E-2    7.1000E-3    1.2567E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
# Sensitivity: 100mV
00015000   1.28E-3     1.277743     3.79000E-3    6.6600E-3    1.2769E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00016000   1.30E-3     1.297720     3.79000E-3    4.8200E-3    1.2991E+0    -3.0518E-4    3.0518E-4     0.0000E+0      0.000000 
00017000   1.32E-3     1.317698     3.76000E-3    4.7200E-3    1.3177E+0    -3.0518E-4   -6.1035E-4    -6.1035E-4      0.000000 
00018000   1.34E-3     1.337661     3.81000E-3    4.2600E-3    1.3364E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00019000   1.36E-3     1.357607     3.80000E-3    3.9400E-3    1.3568E+0    -3.0518E-4   -6.1035E-4    -6.1035E-4      0.000000 
00020000   1.38E-3     1.377549     3.78000E-3   -4.6000E-4    1.3770E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00021000   1.40E-3     1.392401     2.78000E-3    1.6800E-3    1.3974E+0     0.0000E+0    0.0000E+0    -3.0518E-4     -0.000305 
00022000   1.42E-3     1.417516     4.69000E-3    1.6200E-3    1.4175E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00023000   1.44E-3     1.437470     4.65000E-3    1.7000E-3    1.4371E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00024000   1.46E-3     1.457418     4.63000E-3    1.6100E-3    1.4554E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00025000   1.48E-3     1.477428     4.26000E-3    1.5900E-3    1.4761E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00026000   1.50E-3     1.497382     3.58000E-3    1.8400E-3    1.4960E+0    -3.0518E-4   -6.1035E-4     0.0000E+0      0.000000 
00027000   1.52E-3     1.517325     3.86000E-3    1.2400E-3    1.5176E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00028000   1.54E-3     1.537273     3.77000E-3    6.9000E-4    1.5363E+0     0.0000E+0    3.0518E-4    -3.0518E-4     -0.000610 
00029000   1.56E-3     1.557224     3.82000E-3    1.9000E-4    1.5573E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000305 
00030000   1.58E-3     1.577257     3.75000E-3    0.0000E+0    1.5768E+0    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00031000   1.60E-3     1.597205     3.79000E-3    0.0000E+0    1.5958E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00032000   1.62E-3     1.606895     3.74000E-3   -5.0000E-5    1.6171E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00033000   1.64E-3     1.637106     3.81000E-3   -4.0000E-5    1.6382E+0    -6.1035E-4   -9.1553E-4     0.0000E+0     -0.000305 
00034000   1.66E-3     1.657072     4.28000E-3    6.8000E-4    1.6562E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00035000   1.68E-3     1.677066     3.05000E-3    1.4400E-3    1.6772E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00036000   1.70E-3     1.697005     4.49000E-3    1.6500E-3    1.6968E+0    -6.1035E-4   -3.0518E-4     0.0000E+0      0.000000 
00037000   1.72E-3     1.716962     3.01000E-3    1.6800E-3    1.7175E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000610 
00038000   1.74E-3     1.735823     3.01000E-3    1.6300E-3    1.7352E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000610 
00039000   1.76E-3     1.756926     2.99000E-3    1.6600E-3    1.7566E+0    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000000 
00040000   1.78E-3     1.773099     3.38000E-3    1.6600E-3    1.7770E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000610 
00041000   1.80E-3     1.796815     3.94000E-3    1.7600E-3    1.7963E+0    -3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
00042000   1.82E-3     1.816757     3.72000E-3    1.6700E-3    1.8164E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00043000   1.84E-3     1.836772     3.76000E-3    2.7100E-3    1.8362E+0    -3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00044000   1.86E-3     1.856736     3.77000E-3    3.1400E-3    1.8570E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000610 
00045000   1.88E-3     1.876682     3.78000E-3    3.3000E-3    1.8768E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00046000   1.90E-3     1.896634     3.75000E-3    3.3800E-3    1.8961E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00047000   1.92E-3     1.916573     3.77000E-3    3.3400E-3    1.9162E+0     0.0000E+0   -3.0518E-4    -6.1035E-4      0.000000 
00048000   1.94E-3     1.936600     3.95000E-3    3.1000E-3    1.9360E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000305 
00049000   1.96E-3     1.956545     4.29000E-3    2.3000E-3    1.9568E+0    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00050000   1.98E-3     1.976490     4.48000E-3    1.6500E-3    1.9775E+0     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00051000   2.00E-3     1.996438     4.51000E-3    1.6000E-3    1.9955E+0     3.0518E-4    0.0000E+0     0.0000E+0     -0.000305 
