# 1kOhm 08/12/2017  PREAMPS 
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-3 A Stop current: 2.00E-3 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000649   1.00E-3   -13.383996     4.07000E-3    2.3500E-3   -1.0000E+1     0.0000E+0    0.0000E+0     3.0518E-4     -0.000305 
00002161   1.02E-3   -13.383761     3.31000E-3    1.2900E-3   -1.0000E+1    -3.0518E-4    3.0518E-4    -3.0518E-4     -0.000305 
00003000   1.04E-3   -13.383469     3.62000E-3    2.7900E-3   -1.0000E+1     0.0000E+0    0.0000E+0     0.0000E+0      0.000000 
00004000   1.06E-3   -13.383203     3.77000E-3    2.7800E-3   -1.0000E+1    -6.1035E-4    0.0000E+0    -3.0518E-4     -0.000305 
00005000   1.08E-3   -13.382955     3.95000E-3    7.5000E-4   -1.0000E+1    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00006000   1.10E-3   -13.382558     4.00000E-3    2.4500E-3   -1.0000E+1     0.0000E+0    0.0000E+0     0.0000E+0      0.000305 
00007000   1.12E-3   -13.382305     3.99000E-3    6.4000E-4   -1.0000E+1    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00008000   1.14E-3   -13.382187     4.01000E-3    5.7000E-4   -1.0000E+1    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00009000   1.16E-3   -13.381877     4.14000E-3    6.9000E-4   -1.0000E+1    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000610 
00010000   1.18E-3   -13.381754     3.31000E-3    2.4900E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4    -3.0518E-4      0.000000 
00011000   1.20E-3   -13.381482     3.33000E-3    2.6200E-3   -1.0000E+1    -6.1035E-4    0.0000E+0     0.0000E+0     -0.000305 
00012000   1.22E-3   -13.381377     3.26000E-3    2.3200E-3   -1.0000E+1    -3.0518E-4    0.0000E+0     0.0000E+0      0.000305 
00013000   1.24E-3   -13.381122     3.28000E-3    2.2000E-3   -1.0000E+1     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00014000   1.26E-3   -13.380942     3.34000E-3    2.1800E-3   -1.0000E+1    -6.1035E-4   -3.0518E-4     0.0000E+0      0.000000 
00015000   1.28E-3     0.081047     3.20000E-3    2.1700E-3   -3.6267E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00016000   1.30E-3    -0.108556     3.25000E-3    1.8500E-3   -2.5940E-1    -3.0518E-4   -6.1035E-4    -6.1035E-4     -0.000610 
00017000   1.32E-3     0.065599     3.18000E-3    1.3800E-3   -1.5869E-2    -3.0518E-4    3.0518E-4     3.0518E-4     -0.000305 
00018000   1.34E-3     0.058852     3.30000E-3    1.2300E-3   -1.8311E-3    -3.0518E-4    3.0518E-4    -3.0518E-4      0.000000 
00019000   1.36E-3    14.187193     3.43000E-3    1.1800E-3   -2.2086E+0     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000000 
00020000   1.38E-3    14.172713     3.51000E-3    1.1700E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00021000   1.40E-3    14.169983     3.32000E-3    2.2000E-3   -1.0000E+1     0.0000E+0    0.0000E+0     3.0518E-4      0.000000 
00022000   1.42E-3    14.137401     4.27000E-3    2.1100E-3   -1.0000E+1     0.0000E+0   -3.0518E-4    -3.0518E-4      0.000610 
00023000   1.44E-3    14.165116     4.36000E-3    1.6200E-3   -1.0000E+1    -6.1035E-4   -3.0518E-4    -6.1035E-4      0.000305 
00024000   1.46E-3    14.165736     4.36000E-3    1.2900E-3   -1.0000E+1     0.0000E+0   -3.0518E-4    -6.1035E-4      0.000000 
00025000   1.48E-3    14.160078     4.18000E-3    1.1900E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00026000   1.50E-3    14.159130     4.06000E-3    1.1800E-3   -1.0000E+1    -6.1035E-4    0.0000E+0    -3.0518E-4     -0.000305 
00027000   1.52E-3     5.076640     4.03000E-3    9.2000E-4   -1.0000E+1    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00028000   1.54E-3    14.157762     3.85000E-3    5.3000E-4   -1.0000E+1    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00029000   1.56E-3     0.019120     3.64000E-3    7.5000E-4   -1.0000E+1    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00030000   1.58E-3    14.150494     3.60000E-3    8.1000E-4   -1.0000E+1    -3.0518E-4    3.0518E-4     0.0000E+0      0.000000 
00031000   1.60E-3     0.031102     3.54000E-3    5.7000E-4   -1.0000E+1    -3.0518E-4   -6.1035E-4     0.0000E+0      0.000000 
00032000   1.62E-3    14.156066     3.55000E-3    5.1000E-4   -1.0000E+1     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00033000   1.64E-3    14.153336     3.38000E-3    2.6000E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00034000   1.66E-3    14.135173     3.24000E-3    1.1000E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00035000   1.68E-3    14.120365     3.32000E-3    2.1700E-3   -1.0000E+1    -3.0518E-4    0.0000E+0     0.0000E+0      0.000000 
00036000   1.70E-3     1.067171     3.25000E-3    2.1400E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4    -6.1035E-4      0.000305 
00037000   1.72E-3    14.175071     4.36000E-3    1.7200E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000305 
00038000   1.74E-3    14.120500     3.24000E-3    1.2700E-3   -1.0000E+1    -3.0518E-4   -6.1035E-4    -3.0518E-4      0.000000 
00039000   1.76E-3    14.118086     4.22000E-3    1.1900E-3   -1.0000E+1     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00040000   1.78E-3    14.116903     3.46000E-3    1.1900E-3   -1.0000E+1     0.0000E+0    0.0000E+0    -6.1035E-4      0.000000 
00041000   1.80E-3    14.116092     4.06000E-3    1.1400E-3   -1.0000E+1    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00042000   1.82E-3    14.144717     3.55000E-3    6.2000E-4   -1.0000E+1    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00043000   1.84E-3    14.143837     3.70000E-3    4.9000E-4   -1.0000E+1    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00044000   1.86E-3    14.142945     3.74000E-3    6.1000E-4   -1.0000E+1    -3.0518E-4   -3.0518E-4     0.0000E+0      0.000000 
00045000   1.88E-3    14.141870     3.62000E-3    8.2000E-4   -1.0000E+1    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00046000   1.90E-3    14.111536     3.57000E-3    7.1000E-4   -1.0000E+1    -3.0518E-4   -6.1035E-4    -3.0518E-4     -0.000305 
00047000   1.92E-3    14.117523     3.55000E-3    5.4000E-4   -1.0000E+1     0.0000E+0   -3.0518E-4    -3.0518E-4     -0.000305 
00048000   1.94E-3    14.139518     3.44000E-3    2.6900E-3   -1.0000E+1     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000305 
00049000   1.96E-3    14.138818     3.33000E-3    9.5000E-4   -1.0000E+1    -3.0518E-4   -3.0518E-4    -6.1035E-4     -0.000610 
00050000   1.98E-3    14.138212     3.25000E-3    2.2000E-3   -1.0000E+1    -3.0518E-4   -6.1035E-4    -3.0518E-4      0.000000 
00051000   2.00E-3    14.137519     3.31000E-3    1.1100E-3   -1.0000E+1     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
