# 1kOhm 08/12/2017  PREAMPS EXPERIMENT
# Lock-In: 5110 Sensitivity: 100mV Time Constant: MIN | | Keithley: 6221 Start current: 1.00E-6 A Stop current: 2.00E-6 A
# t, ms   6221, A      2000, V      5110_X, V      5110_Y, V    DAQ A0, V      DAQ A1, V    DAQ A2, V    DAQ A3, V     DAQ A4, V     
00000648   1.00E-6     0.998236     3.35000E-3    9.1000E-4   -9.0332E-1    -3.0518E-4    0.0000E+0    -3.0518E-4     -0.000610 
00001857   1.02E-6     1.016245     3.24000E-3    1.8300E-3   -9.6069E-1     6.1035E-4    0.0000E+0    -3.0518E-4      0.000000 
00002216   1.04E-6     1.037809     3.95000E-3    2.6800E-3   -9.9365E-1    -3.0518E-4    0.0000E+0    -3.0518E-4      0.000000 
00003000   1.06E-6     1.048590     3.28000E-3    2.1600E-3   -1.0294E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4      0.000000 
00004000   1.08E-6     1.076034     3.24000E-3    2.1800E-3   -1.0544E+0    -3.0518E-4   -3.0518E-4     0.0000E+0     -0.000305 
00005000   1.10E-6     1.095850     3.21000E-3    1.6600E-3   -1.0739E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
00006000   1.12E-6     1.115176     3.19000E-3    2.0600E-3   -1.0947E+0     0.0000E+0   -3.0518E-4     0.0000E+0     -0.000305 
00007000   1.14E-6     1.136197     3.42000E-3    2.1100E-3   -1.1148E+0     0.0000E+0   -3.0518E-4     3.0518E-4      0.000000 
00008000   1.16E-6     1.155186     3.49000E-3    2.2300E-3   -1.1346E+0     0.0000E+0    0.0000E+0    -3.0518E-4      0.000000 
00009000   1.18E-6     1.175308     3.57000E-3    2.6300E-3   -1.1545E+0    -6.1035E-4    0.0000E+0     0.0000E+0      0.000000 
00010000   1.20E-6     1.196291     4.00000E-3    6.7000E-4   -1.1749E+0     0.0000E+0   -6.1035E-4     0.0000E+0     -0.000305 
00011000   1.22E-6     1.197205     3.77000E-3    4.2000E-4   -1.1942E+0     0.0000E+0   -3.0518E-4     0.0000E+0      0.000000 
00012000   1.24E-6     1.236288     3.62000E-3    8.4000E-4   -1.2149E+0    -3.0518E-4   -6.1035E-4     0.0000E+0      0.000000 
00013000   1.26E-6     1.243644     3.56000E-3    6.8000E-4   -1.2344E+0     0.0000E+0   -6.1035E-4    -3.0518E-4     -0.000305 
00014000   1.28E-6     1.275445     3.46000E-3    4.7000E-4   -1.2537E+0    -6.1035E-4    3.0518E-4     0.0000E+0      0.000000 
00015000   1.30E-6     1.295473     3.34000E-3    8.1000E-4   -1.2747E+0     0.0000E+0    0.0000E+0    -6.1035E-4     -0.000610 
00016000   1.32E-6     1.316456     3.27000E-3    1.0800E-3   -1.2946E+0     3.0518E-4    0.0000E+0    -3.0518E-4     -0.000305 
00017000   1.34E-6     1.335293     3.28000E-3    1.1600E-3   -1.3147E+0     0.0000E+0   -6.1035E-4     0.0000E+0     -0.000305 
00018000   1.36E-6     1.356196     3.17000E-3    1.3600E-3   -1.3339E+0     0.0000E+0   -3.0518E-4     3.0518E-4     -0.000305 
00019000   1.38E-6     1.375481     3.19000E-3    2.0100E-3   -1.3538E+0     0.0000E+0    3.0518E-4    -3.0518E-4     -0.000305 
00020000   1.40E-6     1.395838     4.01000E-3    2.1300E-3   -1.3727E+0    -6.1035E-4   -3.0518E-4    -3.0518E-4     -0.000610 
00021000   1.42E-6     1.414718     3.98000E-3    2.4900E-3   -1.3943E+0    -3.0518E-4   -3.0518E-4    -3.0518E-4     -0.000305 
